Process Id = 69, Previous Burst Time = 58, New Burst Time = 0, Response Time = 44, Turn Around Time = 102
Process Id = 70, Previous Burst Time = 25, New Burst Time = 0, Response Time = 72, Turn Around Time = 97
Process Id = 36, Previous Burst Time = 94, New Burst Time = 0, Response Time = 1825, Turn Around Time = 1919
Process Id = 72, Previous Burst Time = 83, New Burst Time = 0, Response Time = 119, Turn Around Time = 202
Process Id = 73, Previous Burst Time = 46, New Burst Time = 0, Response Time = 177, Turn Around Time = 223
Process Id = 74, Previous Burst Time = 15, New Burst Time = 0, Response Time = 129, Turn Around Time = 144
Process Id = 75, Previous Burst Time = 68, New Burst Time = 0, Response Time = 61, Turn Around Time = 129
Process Id = 76, Previous Burst Time = 35, New Burst Time = 0, Response Time = 83, Turn Around Time = 118
Process Id = 77, Previous Burst Time = 65, New Burst Time = 0, Response Time = 103, Turn Around Time = 168
Process Id = 78, Previous Burst Time = 44, New Burst Time = 0, Response Time = 100, Turn Around Time = 144
Process Id = 79, Previous Burst Time = 51, New Burst Time = 0, Response Time = 109, Turn Around Time = 160
Process Id = 80, Previous Burst Time = 88, New Burst Time = 0, Response Time = 95, Turn Around Time = 183
Process Id = 81, Previous Burst Time = 9, New Burst Time = 0, Response Time = 139, Turn Around Time = 148
Process Id = 82, Previous Burst Time = 77, New Burst Time = 0, Response Time = 97, Turn Around Time = 174
Process Id = 83, Previous Burst Time = 79, New Burst Time = 0, Response Time = 86, Turn Around Time = 165
Process Id = 84, Previous Burst Time = 89, New Burst Time = 0, Response Time = 156, Turn Around Time = 245
Process Id = 85, Previous Burst Time = 85, New Burst Time = 0, Response Time = 168, Turn Around Time = 253
Process Id = 86, Previous Burst Time = 4, New Burst Time = 0, Response Time = 174, Turn Around Time = 178
Process Id = 87, Previous Burst Time = 52, New Burst Time = 0, Response Time = 89, Turn Around Time = 141
Process Id = 88, Previous Burst Time = 55, New Burst Time = 0, Response Time = 56, Turn Around Time = 111
Process Id = 4, Previous Burst Time = 94, New Burst Time = 0, Response Time = 4256, Turn Around Time = 4350
Process Id = 90, Previous Burst Time = 33, New Burst Time = 0, Response Time = 149, Turn Around Time = 182
Process Id = 91, Previous Burst Time = 61, New Burst Time = 0, Response Time = 127, Turn Around Time = 188
Process Id = 92, Previous Burst Time = 77, New Burst Time = 0, Response Time = 93, Turn Around Time = 170
Process Id = 93, Previous Burst Time = 69, New Burst Time = 0, Response Time = 137, Turn Around Time = 206
Process Id = 94, Previous Burst Time = 40, New Burst Time = 0, Response Time = 145, Turn Around Time = 185
Process Id = 95, Previous Burst Time = 13, New Burst Time = 0, Response Time = 108, Turn Around Time = 121
Process Id = 96, Previous Burst Time = 27, New Burst Time = 0, Response Time = 52, Turn Around Time = 79
Process Id = 97, Previous Burst Time = 87, New Burst Time = 0, Response Time = 39, Turn Around Time = 126
Process Id = 98, Previous Burst Time = 95, New Burst Time = 0, Response Time = 113, Turn Around Time = 208
Process Id = 99, Previous Burst Time = 40, New Burst Time = 0, Response Time = 181, Turn Around Time = 221
Process Id = 100, Previous Burst Time = 96, New Burst Time = 0, Response Time = 134, Turn Around Time = 230
Process Id = 101, Previous Burst Time = 71, New Burst Time = 0, Response Time = 135, Turn Around Time = 206
Process Id = 102, Previous Burst Time = 35, New Burst Time = 0, Response Time = 166, Turn Around Time = 201
Process Id = 103, Previous Burst Time = 79, New Burst Time = 0, Response Time = 105, Turn Around Time = 184
Process Id = 104, Previous Burst Time = 68, New Burst Time = 0, Response Time = 113, Turn Around Time = 181
Process Id = 105, Previous Burst Time = 2, New Burst Time = 0, Response Time = 146, Turn Around Time = 148
Process Id = 71, Previous Burst Time = 96, New Burst Time = 0, Response Time = 2109, Turn Around Time = 2205
Process Id = 107, Previous Burst Time = 3, New Burst Time = 0, Response Time = 97, Turn Around Time = 100
Process Id = 108, Previous Burst Time = 18, New Burst Time = 0, Response Time = 98, Turn Around Time = 116
Process Id = 109, Previous Burst Time = 93, New Burst Time = 0, Response Time = 20, Turn Around Time = 113
Process Id = 110, Previous Burst Time = 53, New Burst Time = 0, Response Time = 110, Turn Around Time = 163
Process Id = 111, Previous Burst Time = 57, New Burst Time = 0, Response Time = 145, Turn Around Time = 202
Process Id = 112, Previous Burst Time = 2, New Burst Time = 0, Response Time = 109, Turn Around Time = 111
Process Id = 113, Previous Burst Time = 81, New Burst Time = 0, Response Time = 58, Turn Around Time = 139
Process Id = 114, Previous Burst Time = 87, New Burst Time = 0, Response Time = 82, Turn Around Time = 169
